Title,Author(s),Publisher,Publication Date,Place of Publication,Edition,Categories,Language,ISBN-10,Price,Monetary Units,Quantity,Book Binding Type,Location,ISBN-13,LC Control Number,Call Number,Dewey Class Number,Availability,Total Reserved
SAS for data analysis : intermediate statistical methods,"Marasinghe, Mervyn G. Kennedy, William J.",Springer,1/1/2008,"New York, NY",1,Mathematical statistics. SAS (Computer program language),UNKNOWN,387773711,0,UNKNOWN,1,Hardcover,UNKNOWN,9.78039E+12,2008932955,QA276.4 .M266 2008,519.502855369 22 22 22,1,0
SAS for linear models,"Littell, Ramon C. Stroup, Walter W. Freund, Rudolf J.",SAS Institute,1/1/2002,"Cary, NC, USA",4,Linear models (Statistics),UNKNOWN,471221740,0,UNKNOWN,1,Hardcover,1. Stacks,9.78047E+12,2002283297,QA276.4 .L58 2002,519.5/35,1,0
"SAS language and procedures : usage, version 6.",N/A,SAS Institute,1/1/1989,"Cary, NC",1,N/A,UNKNOWN,1555443710,0,UNKNOWN,1,Hardcover,1. Stacks,9.78156E+12,92198201,QA276.4 .S232 1989,519.5/0285/5369,1,0
SAS macro facility tips and techniques : Version 6.,N/A,SAS Institute,1/1/1994,"Cary, NC",1,Macro instructions (Electronic computers),UNKNOWN,1555446051,0,UNKNOWN,1,Hardcover,1. Stacks,9.78156E+12,95211373 //r98,QA276.4 .S23225 1994,5.3,1,0
"SAS macro programming made easy, second edition","Burlew, Michele M.",SAS Institute,1/1/2006,"Cary, N.C",2,Macro instructions (Electronic computers) Macroprogramming.,UNKNOWN,1590478827,0,UNKNOWN,1,Hardcover,1. Stacks,9.78159E+12,,QA276.4 .B84 2006eb,5.3,1,0
SAS System for linear models,"Littell, Ramon C. Freund, Rudolf J. Spector, Philip C.",SAS Institute,1/1/1991,"Cary, NC",3,Linear models (Statistics),UNKNOWN,155544430X,0,UNKNOWN,1,Hardcover,1. Stacks,9.78156E+12,92221796,QA276.4 .L58 1991,519.5/0285/5369,1,0
SAS/Graph Vol. 2,N/A,SAS Institute,1/1/1990,"Cary, NC",1,Graphic methods.,UNKNOWN,1555443796,0,UNKNOWN,1,Hardcover,1. Stacks,9.78156E+12,,QA 276.4 .S123 1990,,1,0
Save to Favorites Basic economics : a common sense guide to the economy,"Sowell, Thomas",Basic Books,1/1/2011,New York,4,N/A,UNKNOWN,465022529,0,UNKNOWN,1,Hardcover,1. Stacks,9.78047E+12,,HB171 .S713 2011,,1,0
Save to Favorites Mixed-effects models in S and S-PLUS,"Pinheiro, José C. Bates, Douglas M.",Springer,1/1/2000,New York,1,N/A,UNKNOWN,1441903178,0,UNKNOWN,1,Hardcover,1. Stacks,9.78144E+12,,QA 76.73 .S15 P561 2000,,1,0
"Schaum's outlines.  Probability, random variables, and random processes","Hsu, Hwei P.",McGraw-Hill,1/1/2011,New York,2,Probabilities. Random variables. Stochastic processes.,UNKNOWN,71632891,22,UNKNOWN,1,Hardcover,UNKNOWN,9.78007E+12,2010016677,QA273.25 .H78 2011,519.2,1,0
Sharp Vocab,N/A,Kaplan Publishing Staff,1/1/2008,New Yrok,1,"Vocabulary -- Problems, exercises, etc.  Vocabulary.",UNKNOWN,1419550365,0,UNKNOWN,1,Hardcover,1. Stacks,9.78142E+12,,PE1449 .S53 2008,,1,0
Short term trading in the new stock market,"Turner, Toni.",St. Martin's Press,1/1/2005,New York,1,Speculation. Stocks. Investment analysis.,UNKNOWN,031232569X,0,UNKNOWN,1,Hardcover,1. Stacks,9.78031E+12,2004065654,HG6041 .T873 2005,332.63/22,1,0
Silent warfare : understanding the world of intelligence,"Shulsky, Abram N. Schmitt, Gary James","Brassey's, Inc.",1/1/2002,"Washington, D.C",3,Intelligence service.,UNKNOWN,1574883453,0,UNKNOWN,1,Paperback,1. Stacks,9.78157E+12,2002001312,JF1525.I6 S49 2002,327.12,1,0
Singular integral equations : boundary problems of function theory and their application to mathematical physics,"Muskhelishvili, N. I.",Dover Publications,1/1/1992,New York,2,Integral equations. Boundary value problems.,UNKNOWN,486668932,0,UNKNOWN,1,Paperback,1. Stacks,9.78049E+12,92014006,QA431 .M813 1992,515/.45,1,0
Slander : liberal lies about the American right,"Coulter, Ann H.",Three Rivers Press,1/1/2002,New York,1,Liberalism. Mass media.,UNKNOWN,1400049520,14.95,UNKNOWN,1,Hardcover,UNKNOWN,9.7814E+12,2003283938,JC574.2.U6 C68 2002b,320.52/0973,1,0
Small area estimation,"Rao, J. N. K.",John Wiley,1/1/2003,"Hoboken, N.J",1,Sampling (Statistics) Estimation theory.,UNKNOWN,471413747,0,UNKNOWN,1,Hardcover,1. Stacks,9.78047E+12,2002033197,QA276.6 .R344 2003,519.5/2,1,0
Some theory of sampling.,"Deming, W. Edwards",Dover Publications,1/1/2000,New,1,Sampling (Statistics),UNKNOWN,048664684X,0,UNKNOWN,1,Paperback,1. Stacks,9.78049E+12,66030538//r84,HA33 .D4 1966,311/.21,1,0
Statistical concepts and methods,"Bhattacharyya, Gouri K. Johnson, Richard Arnold",Wiley,1/1/1977,New York,1,Statistics.,UNKNOWN,471072044,0,UNKNOWN,1,Hardcover,1. Stacks,9.78047E+12,76053783,HA29 .B46 1977,519.5,1,0
Statistical consulting,"Cabrera, Javier. McDougall, Andrew",Springer,1/1/2002,New York,1,Social sciences. Statistical consultants.,UNKNOWN,387988637,0,UNKNOWN,1,Hardcover,UNKNOWN,9.78039E+12,2001053286,HA29 .C227 2002,001.4/22,1,0
Statistical design,"Casella, George.",Springer Science+Business Media,1/1/2008,New York,1,Experimental design.,UNKNOWN,1441926143,0,UNKNOWN,1,Hardcover,1. Stacks,9.78144E+12,2008920950,QA279 .C375 2008,519.57,1,0
Statistical inference,"Casella, George. Berger, Roger L.",Thomson Learning,1/1/2002,"Australia Pacific Grove, CA",2,Mathematical statistics. Probabilities.,UNKNOWN,534243126,0,UNKNOWN,1,Hardcover,UNKNOWN,9.78053E+12,2001025794,QA276 .C37 2002,519.5,1,0
Statistical methods,"Snedecor, George W. Cochran, William G.",Iowa State University Press,1/1/1989,Ames,8,Statistics.,UNKNOWN,813815614,0,UNKNOWN,1,Hardcover,1. Stacks,9.78081E+12,89015405,QA276.12 .S59 1989,519.5,1,0
Statistical methods for handling incomplete data,"Kim, Jae Kwang Shao, Jun",N/A,1/1/2000,N/A,1,Missing observations (Statistics) Multiple imputation (Statistics) MATHEMATICS / Probability & Statistics / General.,UNKNOWN,1439849633,0,UNKNOWN,1,Hardcover,1. Stacks,9.78144E+12,2013010114,QA276.8 .K55 2014,519.5/4,1,0
Statistics : principles and methods,"Johnson, Richard Arnold. Bhattacharyya, Gouri K.",Wiley,1/1/1996,New York,3,Statistics.,UNKNOWN,471041947,0,UNKNOWN,1,Hardcover,UNKNOWN,9.78047E+12,95039204,QA276.12 .J63 1996,519.5,1,0
"Statistics for experimenters : design, innovation, and discovery","Box, George E. P. Hunter, J. Stuart Hunter, William Gordon",Wiley-Interscience,1/1/2005,"Hoboken, N.J",2,Experimental design. Analysis of variance. Mathematical statistics.,UNKNOWN,471718130,0,UNKNOWN,1,Hardcover,1. Stacks,9.78047E+12,2004063780,QA279 .B69 2005,519.5,1,0
Statistics for real-life sample surveys : non-simple-random samples and weighted data,"Dorofeev, Sergey. Grant, Peter.",Cambridge University Press,1/1/2006,"Cambridge, UK New York",1,Sampling (Statistics),UNKNOWN,521674654,0,UNKNOWN,1,Paperback,1. Stacks,9.78052E+12,2006297158,HA31.2 .D67 2006,519.52,1,0
Statistics for the behavioral sciences : a first course for students of psychology and education,"Gravetter, Frederick J. Wallnau, Larry B.",West Pub. Co.,1/1/1996,Minneapolis,4,Psychology. Educational statistics.,UNKNOWN,314068066,0,UNKNOWN,1,Hardcover,UNKNOWN,9.78031E+12,95044462,BF39 .G72 1996,519.5/0243,1,0
Stella Technical Documentation,"Peterson, Steve Richmond, Barry",High Performance Systems,1/1/1997,"Hanover, NH",1,"STELLA II -- Handbooks, manuals, etc.    Computer simulation -- Handbooks, manuals, etc.   Decision support systems -- Handbooks, manuals, etc.",UNKNOWN,,0,UNKNOWN,1,Hardcover,1. Stacks,,,QA76.9.C65 R537 1997,,1,0
Stochastic simulation,"Ripley, Brian D.",Wiley,1/1/1987,New York,1,Digital computer simulation. Stochastic processes.,UNKNOWN,471818844,0,UNKNOWN,1,Hardcover,1. Stacks,9.78047E+12,86015728,QA76.9.C65 R57 1987,001.4/34,1,0
Stock Trading Wizard,"Oz, Tony",Tony Oz Publications,1/1/1999,"Laguna Hills, CA",1,Day trading (Securities)  Electronic trading of securities.  Investment analysis.,UNKNOWN,967386209,96,UNKNOWN,1,Hardcover,1. Stacks,9.78097E+12,,HG4515.95 .O9 1999,,1,0
Stock valuation : an essential guide to Wall Street's most popular valuation models,"Hoover, Scott.",McGraw-Hill,1/1/2006,New York,1,Corporations.,UNKNOWN,71452249,0,UNKNOWN,1,Hardcover,UNKNOWN,9.78007E+12,2005021009,HG4028.V3 .H66 2006,332.63/221,1,0
Strategies for profiting on every trade : essential lessons for trading success,"Velez, Oliver L. Lange, Paul",Marketplace Books,1/1/2007,"Columbia, MD",1,Portfolio management. Investment analysis. Stocks. Electronic trading of securities.,UNKNOWN,1592802591,0,UNKNOWN,1,Hardcover,UNKNOWN,9.78159E+12,2006039227,HG4529.5 .V45 2007,332.64,1,0
Student Solution Manual for Mathematical Statistics With Application,"Owen, William J.",Brooks/Cole Cengage Learning,1/1/2007,N/A,1,Mathematical statistics,UNKNOWN,495385069,0,UNKNOWN,1,Paperback,1. Stacks,9.7805E+12,,QA276 .M426 2008 Sol.,,1,0
Student Solutions Manual Calculus Singe Variable,"Hughes-Hallett, Deborah Gleason, Andrew M.","John Wiley & Sons, Inc.",1/1/2000,New York,2,N/A,UNKNOWN,471242608,0,UNKNOWN,1,Hardcover,UNKNOWN,9.78047E+12,,,,1,0
"Student solutions manual for Introduction to probability and its applications, Second edition, Richard L. Scheaffer / \c prepared by Michael Allen, Chris Franklin.","Scheaffer, Richard L. Allen, Michael.",Duxbury Press,1/1/1995,"Belmont, CA",1,N/A,UNKNOWN,534237916,0,UNKNOWN,1,Hardcover,1. Stacks,9.78053E+12,,QA273 .S357 1995,,1,0
Student solutions manual to accompany Calculus : single variable,"Deborah Hughes-Hallett, Gleason, Andrew M.  Flath, Daniel E.  Lock, Patti Frazer","John Wiley & Sons, Inc.",1/1/1998,New York,1,Calculus.    Science > Mathematics,UNKNOWN,,0,UNKNOWN,1,Hardcover,1. Stacks,,,QA 303 .C1551 1998b,,1,0
Student Solutions Manual to Elementary Survey Sampling 7th ed.,"Scheaffer,Richard L. Mendenhall, William Ott, R. Lyman Gerow, Kenneth G.",Brooks/Cole Cengage,1/1/2012,"Boston, MA",1,N/A,UNKNOWN,1111988420,0,UNKNOWN,1,Hardcover,1. Stacks,9.78111E+12,,QA 276.6 .S385 2012,,1,0
Study Guide: Linear Algebra,"Lay, David C.",Addison-Wesley,1/1/2012,Boston,1,"Algebras, Linear.",UNKNOWN,321388836,0,UNKNOWN,1,Hardcover,UNKNOWN,9.78032E+12,,QA184.2 .L39 2012,512/.5,1,0
Survey methodology,"Groves, Robert M. Fowler, Floyd J. Couper, Mick P. Lepkowski, James M. Singer, Eleanor Tourangeous, Roger",Wiley-Interscience,1/1/2004,"Hoboken, N.J",1,Surveys. Social surveys. Social sciences. Data Collection. Social Sciences. Research. Statistics as Topic. Questionnaires.,UNKNOWN,471483486,0,UNKNOWN,1,Paperback,1. Stacks,9.78047E+12,2004044064,HA31.2 .S873 2004,001.4/33,1,0
Survey sampling,"Mukhopadhyay, Parimal.",Alpha Science International,1/1/2007,"Oxford, U.K",1,Sampling (Statistics),UNKNOWN,1842653741,0,UNKNOWN,1,Hardcover,1. Stacks,9.78184E+12,,QA 276.6 .M768 2007,,1,0
Survey Sampling,"Kish, Leslie","John Wiley & Sons, Inc.",1/1/1965,New York,1,Social surveys.  Social sciences -- Research.  Sampling (Statistics),UNKNOWN,471109495,0,UNKNOWN,1,Hardcover,1. Stacks,9.78047E+12,,HN29 .K5,,1,0
Survival analysis : techniques for censored and truncated data,"Klein, John P. Moeschberger, Melvin L.",Springer,1/1/2003,New York,2,Survival analysis (Biometry),UNKNOWN,038795399X,0,UNKNOWN,1,Hardcover,1. Stacks,9.78039E+12,2002026667,R853.S7 K535 2003,610/.7/27,1,0
Teach yourself JavaScript in a week,"Danesh, Arman.",Sams.net,1/1/1996,"Indianapolis, Ind",1,JavaScript (Computer program language),UNKNOWN,1575210738,0,UNKNOWN,1,Hardcover,UNKNOWN,9.78158E+12,95072943,QA76.73.J39 D36 1996,005.13/3,1,0
Teach yourself Transact-SQL in 21 days,"McEwan, Bennett Wm. Solomon, David S.",Sams Pub.,1/1/1997,"Indianapolis, Ind",1,SQL (Computer program language),UNKNOWN,672310457,0,UNKNOWN,1,Hardcover,1. Stacks,9.78067E+12,96072164,QA76.73.S67 M338 1997,005.75/6,1,0
Technical analysis plain and simple : charting the markets in your language,"Kahn, Michael N.",Financial Times Prentice Hall,1/1/2006,"Upper Saddle River, NJ",2,Investment analysis.,UNKNOWN,131345974,24.99,UNKNOWN,1,Hardcover,UNKNOWN,9.78013E+12,2005037396,HG4529 .K34 2006,332.63/2042,1,0
Technician's guide to day and swing trading,"Pring, Martin J.",McGraw-Hill,1/1/2003,New York,1,Investment analysis. Stocks.,UNKNOWN,71384006,49.95,UNKNOWN,1,Paperback,UNKNOWN,9.78007E+12,2002006804,HG4529 .P755 2003,332.63/2042,1,0
Testing statistical hypotheses,"Lehmann, E. L. Romano, Joseph P.",Springer,1/1/2005,New York,3,Statistical hypothesis testing.,UNKNOWN,387988645,0,UNKNOWN,1,Hardcover,UNKNOWN,9.78039E+12,2004051464,QA277 .L425 2005,519.5/6,1,0
The alchemist,"Coelho, Paulo.",HarperSanFrancisco,1/1/1998,San Francisco,1,N/A,UNKNOWN,62502174,13,UNKNOWN,1,Paperback,UNKNOWN,9.78006E+12,2003276041,PQ9698.13.O3546 A4513 1998b,869.3/42,1,0
The American voter,"Campbell, Angus",Wiley,1/1/1960,Chicago,1,Elections.,UNKNOWN,226092534,0,UNKNOWN,1,Hardcover,1. Stacks,9.78023E+12,76021115//r85,JK1976 .M5 1960,324/.2,1,0
The art of intelligence : lessons from a life in the CIA's clandestine service,"Crumpton, Henry A.",Penguin Press,1/1/2012,New York,1,Intelligence officers. Intelligence service.,UNKNOWN,1594203342,0,UNKNOWN,1,Hardcover,UNKNOWN,9.78159E+12,2011041978,JK468.I6 C78 2012,327.12730092 $a B,1,0
The Bedford reader,"Kennedy, X. J. Kennedy, Dorothy M. Aaron, Jane E.",Bedford Books,1/1/1997,Boston,6,College readers. English language. Report writing.,UNKNOWN,031213634X,0,UNKNOWN,1,Hardcover,1. Stacks,9.78031E+12,96086772,PE1417 .B394 1997,808/.0427,1,0
The Czech Republic: A Tourist Guide,"Lacika, Jan",Vydavatelstvo Priroda,1/1/2006,Bratislava,1,Czech Language Translation,UNKNOWN,8007014055,0,UNKNOWN,1,Hardcover,UNKNOWN,9.78801E+12,,,,1,0
The day trader's survival guide : how to be consistently profitable in short-term markets,"Farrell, Christopher A.",HarperCollins,1/1/2000,New York,1,Electronic trading of securities.,UNKNOWN,66620856,0,UNKNOWN,1,Hardcover,1. Stacks,9.78007E+12,40742,HG4515.95 .F368 2000,332.64/0285,1,0
The electronic day trader,"Friedfertig, Marc. West, George",McGraw-Hill,1/1/1998,New York,1,Electronic trading of securities.,UNKNOWN,70158088,0,UNKNOWN,1,Hardcover,UNKNOWN,9.78007E+12,97045704,HG4515.95 .F74 1998,332.64/0285,1,0
"The elements of statistical learning : data mining, inference, and prediction","Hastie, Trevor. Tibshirani, Robert. Friedman, J. H.",Springer,1/1/2009,"New York, NY",2,Machine learning. Statistics. Data mining. Bioinformatics. Inference. Forecasting. Computational intelligence.,UNKNOWN,387848576,0,UNKNOWN,1,Hardcover,1. Stacks,9.78039E+12,2008941148,Q325.5 .H39 2009,006.3/1,1,0
The Java application programming interface,"Gosling, James Yellin, Frank.",Addison-Wesley Publ.,1/1/1996,"Reading, Mass",1,Java (Computer program language),UNKNOWN,201634597,0,UNKNOWN,1,Paperback,1. Stacks,9.7802E+12,96015915,QA76.73.J38 G67 1996,005.13/3,1,0
The Kite Runner,"Hosseini, Khaled",N/A,1/1/2000,N/A,1,N/A,UNKNOWN,1594480001,0,UNKNOWN,1,Paperback,UNKNOWN,9.78159E+12,,,,1,0
The master swing trader : tools and techniques to profit form outstanding short-term trading opportunities,"Farley, Alan S.",McGraw-Hill,1/1/2001,New York,1,Speculation. Stocks. Stock price forecasting. Day trading (Securities),UNKNOWN,71363092,55,UNKNOWN,1,Hardcover,UNKNOWN,9.78007E+12,62222,HG6041 .F35 2001,332.64/5,1,0
The probability tutoring book : an intuitive course for engineers and scientists (and everyone else!),"Ash, Caro",IEEE Press,1/1/1993,New Yrok,1,Engineering mathematics Probabilities Probability Statistics,UNKNOWN,780310519,43.95,UNKNOWN,1,Paperback,1. Stacks,9.78078E+12,,TA340 .A75 1993,,1,0
The probability tutoring book : an intuitive course for engineers and scientists (and everyone else!),"Ash, Carol",IEEE Press,1/1/1993,New York,1,Engineering mathematics. Probabilities.,UNKNOWN,879422939,0,UNKNOWN,1,Paperback,UNKNOWN,9.78088E+12,92053183,TA340 .A75 1993,620/.001/51,1,0
The R book,"Crawley, Michael J.",John Wiley & Sons Inc.,1/1/2013,"Hoboken, NJ",1,R (Computer program language) Mathematical statistics. MATHEMATICS / Probability & Statistics / General.,UNKNOWN,470973927,0,UNKNOWN,1,Hardcover,1. Stacks,9.78047E+12,,QA276.45.R3,519.50285/5133,1,0
The science of web surveys,"Tourangeau, Roger. Conrad, Frederick G. Couper, Mick.",Oxford University Press,1/1/2013,Oxford New York,1,Social surveys. Internet surveys. Questionnaires.,UNKNOWN,199747040,0,UNKNOWN,1,Hardcover,1. Stacks,9.7802E+12,2012034133,HM538 .T68 2013,300.72/3,1,0
The statistics problem solver : a complete solution guide to any textbook,"Fogiel, M.",Research and Education Association,1/1/2000,"Piscataway, N.J",1,Statistics. Mathematical statistics.,UNKNOWN,087891515X,25.95,UNKNOWN,1,Hardcover,UNKNOWN,9.78088E+12,99075257,QA276.2 .S725 2000,519.5/076,1,0
The theory of gambling and statistical logic,"Epstein, Richard A.",Academic Press,1/1/1995,New York,1,Games of chance (Mathematics) Statistical decision.,UNKNOWN,012240761X,0,UNKNOWN,1,Hardcover,1. Stacks,9.78012E+12,95159404,QA271 .E67 1995,519.2,1,0
The Thomas Sowell reader,"Sowell, Thomas",Basic Books,1/1/2011,New York,1,N/A,UNKNOWN,465022502,0,UNKNOWN,1,Hardcover,1. Stacks,9.78047E+12,,E169.12 .S6676 2011,973.92,1,0
The truth about day trading stocks : a cautionary tale about hard challenges and what it takes to succeed,"DiPietro, Josh",Wiley,1/1/2009,"Hoboken, N.J",1,Day trading (Securities) Electronic trading of securities.,UNKNOWN,470448482,60,UNKNOWN,1,Hardcover,1. Stacks,9.78047E+12,2008054930,HG4515.95 .D57 2009,332.63/228,1,0
"The Ultimate Day Trader:  how to achieve consistent day-trading profits in stocks, forex, and commodities","Bernstein, Jacob",Adams Business,1/1/2009,"Avon, MA",1,Day-trading,UNKNOWN,1605500089,16.95,UNKNOWN,1,Paperback,1. Stacks,9.78161E+12,,HG4515.95 .B47 2009,,1,0
The voter's guide to election polls,"Traugott, Michael W. Lavrakas, Paul J.",Rowman & Littlefield Publishers,1/1/2008,"Lanham, Md",4,Public opinion. Public opinion polls. Election forecasting. Press and politics.,UNKNOWN,742547175,0,UNKNOWN,1,Paperback,1. Stacks,9.78074E+12,2007041598,HN90.P8 T73 2008,303.3/80973,1,0
Theory and Methods of Survey Sampling,"Mukhopadhyay, Parimal",PHI Learning Private Ltd.,1/1/2009,"New Delhi, India",2,Sampling (Statistics)  Scientific surveys -- Statistical methods.  Mathematical statistics.,UNKNOWN,8120336763,0,UNKNOWN,1,Paperback,1. Stacks,9.78812E+12,,QA 276.6 M765 2009,,1,0
Theory of rank tests,"Ha´jek, Jaroslav. S?ida´k, Zbyne?k.",Academic Press,1/1/1967,"New York, NY.",1,Statistical hypothesis testing.,UNKNOWN,,0,UNKNOWN,1,Hardcover,1. Stacks,,66019131,QA276 .H24 1967,519,1,0
Theory of sample surveys,"Gupta, A. K. Kabe, D. G.",World Scientific,1/1/2011,New Jersey London,1,Sampling (Statistics),UNKNOWN,9814322474,0,UNKNOWN,1,Hardcover,1. Stacks,9.78981E+12,2011377567,QA276.6 .G86 2011,,1,0
"TI-92 guidebook, Texas Instruments","Texas Instruments, Inc.","Texas Instruments, Inc.",1/1/1995,Dalls,1,"Pocket calculators -- Handbooks, manuals, etc.  Graphic calculators -- Handbooks, manuals, etc.",UNKNOWN,,0,UNKNOWN,1,Hardcover,1. Stacks,,48839241,QA303.5 .D37 T52 1995,,1,0
"Tools and tactics for the master day trader : battle-tested techniques for day, swing, and position traders","Velez, Oliver L. Capra, Greg.",McGraw-Hill,1/1/2000,New York,1,Electronic trading of securities. Day trading (Securities),UNKNOWN,71360530,0,UNKNOWN,1,Hardcover,UNKNOWN,9.78007E+12,20214,HG4515.95 .V45 2000,332.64/2/0285,1,0
Topics in survey sampling,"Mukhopadhyay, Parimal.",Springer,1/1/2001,New York,1,Sampling (Statistics),UNKNOWN,387951083,0,UNKNOWN,1,Paperback,1. Stacks,9.78039E+12,56271,QA276.6 .M77 2001,519.5/2,1,0
Trade stocks online,"Larson, Mark L.",Wiley,1/1/2000,New York,1,Day trading (Securities) Investments.,UNKNOWN,471384739,0,UNKNOWN,1,Hardcover,UNKNOWN,9.78047E+12,99059988,HG4515.95 .L37 2000,332.64/2/0285,1,0
Trading for dummies,"Griffis, Michael. Epstein, Lita.",Wiley,1/1/2004,"Hoboken, NJ",1,Stocks. Portfolio management. Investments. Investment analysis. Electronic trading of securities.,UNKNOWN,764556894,24.99,UNKNOWN,1,Paperback,UNKNOWN,9.78076E+12,2004110826,HG4661 .G75 2004,332.64/2,1,0
Treason : liberal treachery from the cold war to the war on terrorism,"Coulter, Ann H.",Crown Forum,1/1/2003,New York,1,Liberalism. Anti-communist movements.,UNKNOWN,1400050324,14.95,UNKNOWN,1,Paperback,UNKNOWN,9.7814E+12,2003009311,E743 .C68 2003,320.51/3/097309045,1,0
Trend trading for a living : learn the skills and gain the confidence to trade for a living,"Carr, Thomas K.",McGraw-Hill,1/1/2008,New York,1,Electronic trading of securities. Speculation.,UNKNOWN,71544194,0,UNKNOWN,1,Hardcover,UNKNOWN,9.78007E+12,2007030861,HG4515.95 .C38 2008,332.64/20285,1,0
"Triple cross : how Bin Laden's master spy penetrated the CIA, the Green Berets, and the FBI--and why Patrick Fitzgerald failed to stop him","Lance, Peter.",Regan,1/1/2006,New York,1,Terrorism. Intelligence service. Espionage.,UNKNOWN,60886889,0,UNKNOWN,1,Hardcover,1. Stacks,9.78006E+12,2006052041,HV6432 .L358 2006,973.931,1,0
Unified theory and strategies of survey sampling,"Chaudhuri, Arijit Vos, J. W. E.",North-Holland,1/1/1988,Amsterdam New York,1,Sampling (Statistics),UNKNOWN,444703578,0,UNKNOWN,1,Hardcover,1. Stacks,9.78044E+12,87029499,QA276.6 .C44 1988,519.5/2,1,0
Value change in global perspective,"Abramson, Paul R. Inglehart, Ronald.",University of Michigan Press,1/1/1995,"Ann Arbor, Mich",1,Social values. Social surveys.,UNKNOWN,472065912,0,UNKNOWN,1,Paperback,UNKNOWN,9.78047E+12,94045178,HN373.5 .A27 1995,306/.094,1,0
VBScript by example,"Honeycutt, Jerry.",Que,1/1/1996,"Indianapolis, IN",1,VBScript (Computer program language) Internet programming. HTML (Document markup language) World Wide Web.,UNKNOWN,789708159,0,UNKNOWN,1,Hardcover,1. Stacks,9.78079E+12,96069610,QA76.73.V27 H66 1996,005.2/762,1,0
Webster's new collegiate dictionary.,N/A,G. & C. Merriam Co.,1/1/1979,"Springfield, Mass",1,English language.,UNKNOWN,877793581,0,UNKNOWN,1,Hardcover,UNKNOWN,9.78088E+12,78011140,PE1628.W4 M4 1979,423,1,0
Wordfest! : your vocabulary for lifelong learning,"Geer, Philip.",Barrons Educational Series,1/1/2007,"Hauppauge, N.Y",1,English language. Vocabulary.,UNKNOWN,764179322,0,UNKNOWN,1,Hardcover,1. Stacks,9.78076E+12,2006017175,PE1680 .G44 2007,428.1,1,0
Writers INC : a student handbook for writing & learning,"Sebranek, Patrick. Meyer, Verne. Kemper, Dave.",Write Source,1/1/1996,"Lexington, Mass.",1,English language. Report writing. Study skills.,UNKNOWN,669388130,0,UNKNOWN,1,Hardcover,UNKNOWN,9.78067E+12,96110683,PE1408 .S4538 1996,808/.042,1,0
XSLT,"Tidwell, Doug.",O'Reilly,1/1/2001,Cambridge [Mass.],2,XSLT (Computer program language) XML (Document markup language),UNKNOWN,596527217,49.99,UNKNOWN,1,Hardcover,UNKNOWN,9.7806E+12,2001036175,QA76.73.X58 T53 2001,005.7/2,1,0
XSLT for dummies,"Wagner, Richard",Hungry Minds,1/1/2002,"New York, NY",1,XSLT (Computer program language),UNKNOWN,764536516,0,UNKNOWN,1,Hardcover,UNKNOWN,9.78076E+12,2002100181,QA76.73.X58 W34 2002,005.7/2,1,0
